,Obs,Customer,I tend to plan things very carefully.,I sometimes have trouble controlling my spending.,I think it is important to purchase products that are made locally.,I carefully consider the health benefits of what I eat.,km.out.cluster
0,2,0,1,2,3.0,2,3
1,3,0,1,3,3.0,2,3
2,4,0,2,4,3.0,2,1
3,5,0,2,4,1.0,2,1
4,10,0,2,4,2.0,3,1
5,12,0,2,4,2.0,1,4
6,13,0,2,2,3.0,3,3
7,17,0,1,2,1.0,1,0
8,18,0,3,3,2.0,3,3
9,20,0,1,4,3.0,2,4
10,21,0,2,4,2.0,2,1
11,22,0,2,4,2.0,3,1
12,24,0,1,4,2.0,1,4
13,25,0,2,3,2.0,2,1
14,26,0,1,3,2.0,1,4
15,28,0,2,4,2.0,1,4
16,29,0,2,2,1.0,2,2
17,30,0,2,4,2.0,2,1
18,31,0,1,3,3.0,2,3
19,32,0,2,2,1.0,2,2
20,34,0,1,4,2.0,2,4
21,38,0,3,4,2.0,2,1
22,40,0,3,3,2.0,1,1
23,41,0,1,4,2.0,1,4
24,42,0,1,3,2.0,1,4
25,43,0,2,4,2.0,4,3
26,45,0,2,3,2.0,2,1
27,46,0,2,2,1.0,2,2
28,48,0,4,3,2.0,2,1
29,49,0,1,2,1.0,2,0
30,50,0,2,3,2.0,2,1
31,51,0,2,4,1.0,2,1
32,52,0,1,4,2.0,2,4
33,53,0,2,3,2.0,3,3
34,58,0,1,2,2.0,2,0
35,59,0,3,3,1.0,3,1
36,60,0,1,4,2.0,2,4
37,61,0,2,4,2.0,4,3
38,62,0,2,4,2.0,1,4
39,63,0,2,4,2.0,2,1
40,64,0,2,3,2.0,2,1
41,65,0,2,4,1.0,2,1
42,67,0,2,2,3.0,4,3
43,68,0,2,2,2.0,2,2
44,70,0,1,3,2.0,3,3
45,72,0,2,2,3.0,3,3
46,73,0,3,2,2.0,2,2
47,75,0,1,3,2.0,2,4
48,77,0,2,2,2.0,2,2
49,78,0,3,3,2.0,3,3
50,79,0,2,3,3.0,3,3
51,80,0,2,4,2.0,2,1
52,82,0,2,2,2.0,1,0
53,87,0,3,2,2.0,2,2
54,88,0,2,3,4.0,2,3
55,89,0,2,1,2.0,2,2
56,90,0,3,2,2.0,2,2
57,91,0,2,3,1.0,1,1
58,92,0,2,2,3.0,2,3
59,93,0,2,4,2.0,2,1
60,94,0,1,2,3.0,1,0
61,95,0,1,2,2.0,1,0
62,99,0,2,2,2.0,2,2
63,101,0,2,2,3.0,3,3
64,102,0,2,3,2.0,2,1
65,103,0,3,1,2.0,2,2
66,104,0,4,3,1.0,1,1
67,105,0,3,1,1.0,2,2
68,106,0,2,1,4.0,3,3
69,107,0,1,2,2.0,1,0
70,108,0,2,3,2.0,1,1
71,109,0,2,3,4.0,2,3
72,110,0,3,4,3.0,2,1
73,111,0,2,3,2.0,1,1
74,112,0,1,4,3.0,2,4
75,113,0,1,2,3.0,1,0
76,114,0,2,2,1.0,2,2
77,115,0,1,4,2.0,1,4
78,116,0,3,3,2.0,3,3
79,118,0,1,1,2.0,2,0
80,119,0,1,4,2.0,2,4
81,122,0,1,2,2.0,4,3
82,123,0,1,3,2.0,2,4
83,124,0,1,2,1.0,2,0
84,125,0,2,2,2.0,2,2
85,126,0,2,2,2.0,2,2
86,127,0,1,1,1.0,2,0
87,128,0,2,3,2.0,2,1
88,129,0,2,3,2.0,1,1
89,130,0,2,3,2.0,3,3
90,131,0,2,3,2.0,2,1
91,132,0,1,3,2.0,1,4
92,134,0,1,2,2.0,1,0
93,135,0,1,2,2.0,1,0
94,137,0,1,2,2.0,3,3
95,138,0,2,2,2.0,2,2
96,139,0,1,2,2.0,3,3
97,140,0,1,4,1.0,1,4
98,141,0,2,3,2.0,2,1
99,142,0,3,2,2.0,2,2
100,143,0,1,2,2.0,1,0
101,144,0,2,2,2.0,2,2
102,145,0,1,3,2.0,3,3
103,147,0,3,1,3.0,2,2
104,148,0,2,1,2.0,2,2
105,149,0,1,4,3.0,1,4
106,150,0,2,1,3.0,3,3
107,152,0,1,4,2.0,2,4
108,153,0,2,3,2.0,2,1
109,154,0,2,2,1.0,2,2
110,156,0,1,1,1.0,1,0
111,157,0,3,2,3.0,3,3
112,158,0,2,3,2.0,2,1
113,160,0,2,2,2.0,1,0
114,161,0,2,3,2.0,1,1
115,162,0,2,2,3.0,2,3
116,163,0,1,4,2.0,2,4
117,165,0,2,3,2.0,3,3
118,167,0,3,2,3.0,3,3
119,168,0,1,4,2.0,1,4
120,169,0,2,3,2.0,3,3
121,170,0,2,3,3.0,2,3
122,172,0,2,3,2.0,2,1
123,173,0,1,1,2.0,2,0
124,174,0,1,4,4.0,2,3
125,175,0,2,3,2.0,1,1
126,176,0,1,2,2.0,2,0
127,177,0,2,2,2.0,2,2
128,178,0,2,2,2.0,2,2
129,179,0,1,3,2.0,2,4
130,180,0,1,1,2.0,2,0
131,182,0,1,3,2.0,1,4
132,183,0,3,3,2.0,2,1
133,184,0,2,4,2.0,2,1
134,185,0,1,4,1.0,1,4
135,186,0,2,4,2.0,2,1
136,187,0,2,3,2.0,3,3
138,190,0,1,3,2.0,2,4
139,191,0,2,4,2.0,1,4
140,192,0,2,2,1.0,1,0
141,193,0,2,2,3.0,3,3
142,195,0,2,3,2.0,2,1
143,198,0,2,3,2.0,2,1
144,199,0,2,4,2.0,2,1
145,200,0,1,4,2.0,2,4
146,201,0,1,1,1.0,2,0
147,202,0,2,3,2.0,2,1
148,204,0,2,3,2.0,2,1
149,205,0,2,4,3.0,2,1
150,206,0,1,3,1.0,2,4
151,208,0,2,2,2.0,2,2
152,210,0,2,3,1.0,2,1
153,212,0,2,4,2.0,2,1
154,213,0,2,2,3.0,2,3
155,215,0,2,2,2.0,3,3
156,216,0,2,4,2.0,2,1
157,217,0,3,3,2.0,2,1
158,218,0,1,4,1.0,3,4
159,220,0,2,2,2.0,2,2
160,222,0,2,3,2.0,2,1
161,224,0,2,2,2.0,2,2
162,225,0,2,4,1.0,2,1
163,226,0,2,4,2.0,1,4
164,227,0,2,3,2.0,3,3
165,228,0,2,3,2.0,1,1
166,235,0,3,2,3.0,4,3
167,236,0,3,4,1.0,4,1
168,238,0,1,1,1.0,1,0
169,239,0,1,1,3.0,2,0
170,240,0,1,1,1.0,1,0
171,241,0,3,4,3.0,3,3
172,242,0,2,4,2.0,1,4
173,243,0,2,2,2.0,2,2
174,244,0,1,1,2.0,2,0
175,245,0,1,4,2.0,2,4
176,248,0,2,4,2.0,2,1
177,249,0,1,4,2.0,2,4
178,250,0,2,3,2.0,4,3
179,251,0,1,2,2.0,2,0
180,252,0,3,2,2.0,2,2
181,253,0,3,3,2.0,1,1
182,254,0,2,3,2.0,2,1
183,255,0,3,3,3.0,3,3
184,257,0,2,4,2.0,2,1
185,258,0,2,3,3.0,3,3
186,260,0,2,4,2.0,2,1
187,261,0,1,2,1.0,1,0
188,264,0,2,3,3.0,2,3
189,265,0,1,4,1.0,1,4
190,266,0,1,2,1.0,1,0
191,267,0,2,3,2.0,2,1
192,268,1,2,2,2.0,2,2
193,269,1,3,3,2.0,1,1
194,270,1,2,3,1.0,1,1
195,271,1,1,3,2.0,1,4
196,272,1,3,3,2.0,3,3
197,273,1,1,4,1.0,1,4
198,274,1,2,3,1.0,1,1
199,275,1,2,3,2.0,1,1
200,278,1,2,2,2.0,1,0
201,279,1,2,3,2.0,2,1
202,280,1,3,4,2.0,2,1
203,281,1,1,3,1.0,1,4
204,283,1,2,2,1.0,2,2
205,284,1,2,4,2.0,2,1
206,285,1,1,3,2.0,1,4
207,286,1,1,3,2.0,1,4
208,287,1,2,1,1.0,1,0
209,288,1,3,2,2.0,2,2
210,289,1,1,4,2.0,1,4
211,290,1,3,3,2.0,1,1
212,291,1,1,4,1.0,1,4
213,292,1,1,4,3.0,3,3
214,293,1,1,2,1.0,2,0
215,294,1,1,2,2.0,1,0
216,295,1,2,2,2.0,1,0
217,296,1,3,2,1.0,2,2
218,298,1,2,2,3.0,1,2
219,299,1,1,4,2.0,2,4
220,300,1,1,3,2.0,1,4
221,301,1,1,3,1.0,1,4
222,302,1,1,2,2.0,2,0
223,303,1,3,2,2.0,2,2
225,305,1,2,4,2.0,1,4
226,306,1,2,3,3.0,1,1
227,307,1,2,2,2.0,2,2
228,308,1,3,3,1.0,1,1
229,309,1,2,3,2.0,1,1
230,310,1,2,3,2.0,2,1
231,311,1,2,3,2.0,2,1
232,312,1,2,2,2.0,2,2
233,313,1,2,1,1.0,1,0
234,314,1,3,4,2.0,3,1
235,315,1,1,3,1.0,2,4
236,316,1,2,1,2.0,2,2
237,317,1,1,4,2.0,1,4
238,318,1,2,3,2.0,1,1
239,319,1,2,4,2.0,4,3
240,320,1,1,3,2.0,1,4
241,321,1,1,1,2.0,2,0
242,322,1,2,4,2.0,2,1
243,323,1,1,4,2.0,2,4
244,324,1,3,4,2.0,2,1
245,325,1,1,2,2.0,2,0
246,326,1,1,4,2.0,2,4
247,327,1,1,4,2.0,1,4
248,328,1,1,2,2.0,2,0
249,329,1,2,4,2.0,2,1
250,330,1,2,3,2.0,2,1
251,331,1,1,4,2.0,2,4
252,332,1,2,2,3.0,2,3
253,333,1,1,3,2.0,2,4
254,334,1,2,3,2.0,1,1
255,335,1,2,4,1.0,1,4
256,336,1,1,4,1.0,2,4
257,337,1,3,4,2.0,2,1
258,338,1,2,2,1.0,2,2
259,339,1,3,4,2.0,2,1
260,340,1,1,4,2.0,1,4
261,341,1,1,4,1.0,1,4
262,342,1,1,3,2.0,1,4
263,343,1,1,4,2.0,2,4
264,344,1,1,4,2.0,2,4
265,345,1,2,4,2.0,2,1
266,346,1,2,3,2.0,3,3
267,347,1,1,4,4.0,1,4
268,348,1,2,4,2.0,1,4
269,349,1,2,4,2.0,2,1
270,350,1,1,1,1.0,1,0
271,351,1,2,2,2.0,1,0
272,352,1,1,2,1.0,2,0
273,353,1,2,2,2.0,2,2
274,354,1,1,4,2.0,1,4
275,355,1,1,4,2.0,1,4
276,356,1,3,4,2.0,1,1
277,357,1,2,3,3.0,2,3
278,359,1,1,4,1.0,1,4
279,360,1,2,2,1.0,1,0
280,361,1,2,4,1.0,1,4
281,362,1,3,2,1.0,2,2
282,363,1,2,2,2.0,2,2
283,364,1,1,2,1.0,1,0
284,365,1,1,1,1.0,1,0
285,366,1,2,3,2.0,3,3
286,367,1,2,2,2.0,2,2
287,368,1,2,4,2.0,1,4
288,369,1,2,3,3.0,3,3
289,370,1,3,2,2.0,2,2
290,371,1,2,3,2.0,2,1
291,372,1,1,4,2.0,2,4
292,373,1,1,4,1.0,1,4
293,374,1,2,2,2.0,2,2
294,375,1,2,3,2.0,2,1
295,376,1,1,4,1.0,1,4
296,377,1,1,2,1.0,1,0
297,378,1,2,2,1.0,1,0
298,379,1,2,3,2.0,2,1
299,381,1,1,4,1.0,1,4
300,382,1,3,2,4.0,3,3
301,383,1,1,3,2.0,1,4
302,384,1,2,3,2.0,2,1
303,385,1,2,3,2.0,2,1
304,386,1,3,2,2.0,1,2
305,387,1,1,4,2.0,1,4
306,388,1,2,3,2.0,2,1
307,389,1,3,2,2.0,2,2
308,390,1,2,2,2.0,1,0
309,391,1,1,4,2.0,1,4
310,392,1,2,4,1.0,2,1
311,393,1,1,4,2.0,1,4
312,394,1,2,4,2.0,1,4
313,395,1,1,2,2.0,2,0
314,396,1,3,2,1.0,2,2
315,397,1,2,3,2.0,3,3
316,398,1,2,3,1.0,1,1
317,399,1,2,3,1.0,2,1
318,400,1,1,3,1.0,2,4
319,401,1,1,3,2.0,2,4
320,402,1,2,2,2.0,1,0
321,403,1,1,3,1.0,1,4
322,404,1,2,3,1.0,2,1
323,406,1,1,4,1.0,1,4
324,407,1,4,4,2.0,2,1
325,408,1,2,2,2.0,2,2
326,410,1,3,3,2.0,2,1
327,411,1,1,2,2.0,2,0
328,412,1,2,2,1.0,2,2
329,413,1,3,4,1.0,2,1
330,414,1,1,4,2.0,1,4
331,415,1,3,2,2.0,1,2
332,416,1,2,2,1.0,2,2
333,417,1,2,2,2.0,3,3
334,418,1,1,2,1.0,1,0
335,419,1,2,4,2.0,1,4
336,420,1,2,2,2.0,2,2
337,421,1,2,3,3.0,3,3
338,422,1,1,3,1.0,1,4
339,423,1,1,4,2.0,2,4
340,424,1,2,2,1.0,2,2
341,425,1,2,2,1.0,1,0
342,426,1,3,2,2.0,2,2
343,427,1,2,2,2.0,2,2
344,428,1,2,2,1.0,1,0
345,429,1,3,4,2.0,2,1
346,430,1,2,2,3.0,2,3
347,431,1,2,4,2.0,2,1
348,432,1,1,2,1.0,1,0
349,433,1,2,4,2.0,2,1
350,434,1,3,2,2.0,3,2
351,435,1,2,1,2.0,1,0
352,436,1,1,4,2.0,2,4
353,437,1,3,2,1.0,1,2
354,438,1,1,2,1.0,2,0
355,439,1,2,2,2.0,2,2
356,440,1,3,2,1.0,2,2
357,441,1,3,4,3.0,3,3
358,442,1,3,4,1.0,1,1
359,443,1,3,4,1.0,1,1
360,444,1,3,4,1.0,1,1
361,446,1,1,2,2.0,2,0
362,447,1,2,3,2.0,2,1
363,448,1,3,2,1.0,1,2
364,449,1,1,2,2.0,2,0
365,450,1,2,4,2.0,2,1
366,452,1,2,4,2.0,1,4
367,453,1,2,4,1.0,1,4
368,454,1,2,4,2.0,2,1
369,455,1,1,3,2.0,2,4
370,456,1,1,4,2.0,1,4
371,457,1,3,4,2.0,2,1
372,458,1,3,2,1.0,2,2
373,459,1,1,3,2.0,2,4
374,460,1,1,2,1.0,1,0
375,461,1,1,1,1.0,1,0
376,462,1,2,3,1.0,1,1
377,463,1,3,3,1.0,1,1
378,466,1,1,4,2.0,1,4
379,467,1,2,2,2.0,3,3
380,468,1,1,1,1.0,1,0
381,469,1,2,1,2.0,3,2
382,470,1,2,4,2.0,2,1
383,471,1,2,2,2.0,2,2
384,472,1,2,4,2.0,2,1
385,473,1,2,2,2.0,2,2
386,474,1,1,2,2.0,1,0
387,475,1,2,2,2.0,2,2
388,476,1,2,4,2.0,1,4
389,477,1,3,4,2.0,1,1
390,478,1,3,3,2.0,2,1
391,479,1,2,2,2.0,2,2
392,480,1,1,4,1.0,2,4
393,481,1,1,4,1.0,1,4
394,482,1,1,3,2.0,2,4
